question,answer,category,source_name,source_url,verified_note
Hệ hybrid có lưu trữ là gì?,"Hệ hybrid có lưu trữ kết hợp tấm pin mặt trời, inverter hybrid và pin lưu trữ. Ban ngày hệ ưu tiên cấp tải và sạc pin; ban đêm hoặc khi mất điện có thể dùng điện từ pin cho tải ưu tiên, tùy cấu hình thực tế.",system_type,mksolar_10kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-10kw-luu-tru/,
Khác nhau giữa hệ bám tải và hệ lưu trữ là gì?,"Hệ bám tải không có pin lưu trữ, phù hợp khi dùng điện nhiều ban ngày. Hệ lưu trữ có pin, phù hợp khi cần dùng điện ban đêm, muốn dự phòng khi mất điện hoặc tăng tỷ lệ tự dùng điện mặt trời.",solution_selection,mksolar_10kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-10kw-luu-tru/,
Có nên lắp pin lưu trữ không?,"Nên cân nhắc pin lưu trữ nếu bạn cần điện dự phòng khi mất điện, dùng điện nhiều ban đêm hoặc muốn tăng khả năng tự chủ nguồn điện. Nếu chủ yếu dùng điện ban ngày và muốn tối ưu chi phí đầu tư, hệ bám tải có thể phù hợp hơn.",battery_storage,moit_directive10,https://moit.gov.vn/tin-tuc/chi-thi-10-ct-ttg-ve-viec-tang-cuong-thuc-thi-tiet-kiem-dien-va-phat-trien-dien-mat-troi-mai-nha.html,
BESS là gì?,"BESS là hệ thống lưu trữ năng lượng bằng pin. Bộ Công Thương nêu việc khuyến khích lắp đặt điện mặt trời mái nhà tự sản xuất, tự tiêu thụ kết hợp hệ thống lưu trữ năng lượng phù hợp để giảm phụ tải giờ cao điểm và tăng tính tự chủ nguồn điện tại chỗ.",battery_storage,moit_directive10,https://moit.gov.vn/tin-tuc/chi-thi-10-ct-ttg-ve-viec-tang-cuong-thuc-thi-tiet-kiem-dien-va-phat-trien-dien-mat-troi-mai-nha.html,
Muốn tư vấn công suất cần cung cấp thông tin gì?,"Nên cung cấp tiền điện trung bình mỗi tháng, thời điểm dùng điện nhiều nhất, loại công trình, diện tích và loại mái, khu vực lắp đặt, nhu cầu dùng ban đêm, nhu cầu dự phòng khi mất điện và mong muốn có pin lưu trữ hay không.",consultation_flow,mksolar_contact,https://mksolar.vn/elements/,
Chatbot có thể báo công suất chính xác không?,"Không. Chatbot chỉ tư vấn sơ bộ. Công suất chính xác cần khảo sát thực tế về mái, bóng che, tải điện, hướng nắng, hiện trạng hệ thống điện và nhu cầu sử dụng.",consultation_flow,mksolar_contact,https://mksolar.vn/elements/,
Chatbot có thể báo giá chính xác không?,"Không nên dùng chatbot để chốt báo giá chính thức. Báo giá phụ thuộc công suất, loại hệ thống, thiết bị, pin lưu trữ, vật tư, địa điểm thi công, kết cấu mái và khảo sát thực tế.",consultation_flow,mksolar_materials,https://mksolar.vn/product-category/combo-vat-tu-nang-luong-mat-troi/,
Nhà tiền điện dưới 1 triệu mỗi tháng có nên lắp không?,"Có thể cân nhắc nhưng cần tính kỹ mục tiêu đầu tư. Nếu hóa đơn thấp, thời gian hoàn vốn có thể dài hơn; nên ưu tiên khảo sát nhu cầu dùng điện ban ngày và diện tích mái trước khi chọn hệ.",solution_selection,mksolar_contact,https://mksolar.vn/elements/,
Nhà dùng điện nhiều ban ngày nên chọn hệ nào?,"Nếu dùng điện nhiều vào ban ngày và mục tiêu chính là giảm hóa đơn điện, hệ hòa lưới bám tải không lưu trữ thường là hướng đáng xem xét. Tuy nhiên vẫn cần khảo sát thực tế trước khi chốt công suất.",solution_selection,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Nhà dùng điện nhiều ban đêm nên chọn hệ nào?,"Nếu dùng điện nhiều ban đêm, nên xem xét hệ hybrid có pin lưu trữ, vì hệ bám tải không lưu điện để dùng ban đêm. Dung lượng pin cần tính theo tải ưu tiên và thời gian cần dự phòng.",solution_selection,mksolar_10kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-10kw-luu-tru/,
Kinh doanh ban ngày nên chọn hệ bám tải hay lưu trữ?,"Cửa hàng hoặc cơ sở kinh doanh dùng điện nhiều ban ngày thường phù hợp với hệ bám tải để giảm điện mua từ lưới. Nếu cần dự phòng cho thiết bị quan trọng khi mất điện, có thể xem xét thêm hệ hybrid có lưu trữ.",solution_selection,mksolar_home,https://mksolar.vn/,
Nhà xưởng nên chọn điện mặt trời như thế nào?,"Nhà xưởng cần khảo sát biểu đồ phụ tải, diện tích mái, kết cấu mái, khả năng đấu nối, tải ban ngày và nhu cầu tự dùng. Với công trình thương mại - công nghiệp, cần đặc biệt chú ý tiêu chuẩn kỹ thuật, tích hợp lưới và an toàn vận hành.",solution_selection,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Nên chọn hệ 3kW khi nào?,"Theo thông số MKSolar, hệ 3kWp có sản lượng trung bình khoảng 10–14 kWh/ngày tùy khu vực và điều kiện nắng, cần khoảng 15–20m² mái. Đây là mức tham khảo, cần khảo sát thực tế trước khi đề xuất.",product_reference,mksolar_3kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-3kw-luu-tru/,
Nên chọn hệ 5kW khi nào?,"Theo thông số MKSolar, hệ 5kWp có sản lượng trung bình khoảng 18–25 kWh/ngày và cần khoảng 25–35m² mái. Đây là dữ liệu tham khảo để tư vấn sơ bộ, không thay thế khảo sát.",product_reference,mksolar_5kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-5kw-luu-tru-cao-cap/,
Nên chọn hệ 10kW khi nào?,"Theo thông số MKSolar, hệ 10kWp có sản lượng trung bình khoảng 35–45 kWh/ngày và cần khoảng 50–70m² mái. Trang hệ 10kW bám tải cũng nêu phù hợp với gia đình có tiền điện khoảng 2.500.000–4.000.000 đồng/tháng và dùng nhiều điện ban ngày.",product_reference,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Sản lượng điện mặt trời có cố định không?,"Không. Các mức sản lượng như 10–14 kWh/ngày cho 3kW hoặc 35–45 kWh/ngày cho 10kW trên website MKSolar đều ghi rõ phụ thuộc khu vực và điều kiện nắng. Bóng che, hướng mái, nhiệt độ và chất lượng thi công cũng ảnh hưởng sản lượng.",sizing_preliminary,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Diện tích mái cần bao nhiêu cho hệ 3kW?,"Theo thông số MKSolar, hệ 3kWp cần khoảng 15–20m² mái. Con số này chỉ là tham khảo, còn phụ thuộc loại tấm pin, cách bố trí, lối đi bảo trì và hiện trạng mái.",roof_survey,mksolar_3kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai-2/,
Diện tích mái cần bao nhiêu cho hệ 5kW?,"Theo thông số MKSolar, hệ 5kWp cần khoảng 25–35m² mái. Cần khảo sát thêm bóng che, hướng mái và bố trí thiết bị trước khi chốt thiết kế.",roof_survey,mksolar_5kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai/,
Diện tích mái cần bao nhiêu cho hệ 10kW?,"Theo thông số MKSolar, hệ 10kWp cần khoảng 50–70m² mái. Đây là mức tham khảo để sàng lọc ban đầu, không thay thế thiết kế kỹ thuật.",roof_survey,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Hệ điện mặt trời gồm những thiết bị chính nào?,"Một hệ cơ bản thường gồm tấm pin, inverter, khung/giá đỡ, dây DC, dây AC, jack MC4, tủ điện AC/DC, thiết bị bảo vệ và có thể có pin lưu trữ nếu là hệ hybrid.",equipment,mksolar_3kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai-2/,
Tấm pin có tuổi thọ bao lâu?,"Một số gói hệ thống MKSolar công bố tuổi thọ tấm pin 20–25 năm. Tuổi thọ thực tế còn phụ thuộc hãng thiết bị, môi trường, chất lượng lắp đặt, bảo trì và điều kiện vận hành.",equipment,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Inverter có vai trò gì?,"Inverter chuyển đổi điện DC từ tấm pin thành điện AC để sử dụng cho tải. Với hệ hybrid, inverter còn quản lý sạc/xả pin lưu trữ và chế độ cấp điện cho tải ưu tiên tùy cấu hình.",equipment,mksolar_10kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-10kw-luu-tru/,
Tủ điện AC/DC để làm gì?,"Tủ điện AC/DC chứa các thiết bị đóng cắt và bảo vệ cho phía DC từ tấm pin và phía AC ra tải/lưới. Đây là phần quan trọng về an toàn điện và cần được thiết kế, thi công bởi người có chuyên môn.",equipment,mksolar_3kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai-2/,
Jack MC4 là gì?,"Jack MC4 là đầu nối chuyên dụng thường dùng cho dây DC của hệ tấm pin. Việc đấu nối cần đúng chuẩn, đúng cực và đảm bảo kín, chắc, tránh phát nhiệt hoặc phóng điện.",equipment,mksolar_3kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai-2/,
Pin lưu trữ có bao gồm trong gói vật tư không?,"Một số trang vật tư MKSolar ghi pin lưu trữ không bao gồm trong gói và khách hàng tự chọn, mua thêm theo nhu cầu sử dụng. Cần kiểm tra từng gói cụ thể trước khi tư vấn.",battery_storage,mksolar_5kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-5kw-luu-tru/,
Quy trình lắp đặt điện mặt trời thường gồm những bước nào?,"Quy trình tư vấn thường gồm tiếp nhận nhu cầu, khảo sát, tư vấn phương án, thiết kế, báo giá, thi công, kiểm tra, bàn giao và hỗ trợ sau lắp đặt. MKSolar công bố cung cấp giải pháp trọn gói từ khảo sát, tư vấn, thiết kế đến thi công và bàn giao.",installation_process,mksolar_home,https://mksolar.vn/,
Trước khi khảo sát cần chuẩn bị gì?,"Nên chuẩn bị hóa đơn điện gần nhất, thông tin thời điểm sử dụng điện nhiều, ảnh mái hoặc mặt bằng mái, vị trí tủ điện, mong muốn lắp pin lưu trữ và khu vực lắp đặt.",consultation_flow,mksolar_contact,https://mksolar.vn/elements/,
Khảo sát mái cần xem những gì?,"Cần xem diện tích sử dụng được, hướng nắng, độ nghiêng, bóng che, vật liệu mái, kết cấu chịu lực, lối đi bảo trì, vị trí đặt inverter và đường đi dây.",roof_survey,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Mái tôn có lắp điện mặt trời được không?,"Có thể lắp trên mái tôn nếu kết cấu phù hợp và thi công đúng kỹ thuật. Nhiều gói MKSolar nêu nhân công lắp đặt áp mái tôn. Tuy nhiên cần kiểm tra độ chắc mái, chống dột, khung đỡ và an toàn khi thi công.",roof_survey,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Có cần kiểm tra bóng che không?,"Có. Bóng che từ cây, nhà kế bên, bồn nước hoặc anten có thể làm giảm sản lượng. Khi tư vấn cần hỏi và khi khảo sát cần đánh giá thực tế đường đi nắng trong ngày.",roof_survey,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Có cần lối đi bảo trì trên mái không?,"Nên chừa không gian hợp lý để kiểm tra, vệ sinh và bảo trì an toàn. Bố trí quá kín có thể gây khó khăn khi xử lý sự cố hoặc vệ sinh tấm pin.",maintenance,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Lắp inverter ở đâu là phù hợp?,"Inverter nên đặt ở vị trí thoáng, khô ráo, dễ kiểm tra, tránh mưa tạt trực tiếp, tránh nắng nóng quá mức và thuận tiện đi dây. Vị trí cuối cùng cần kỹ thuật viên xác định khi khảo sát.",installation_process,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Có tự đấu nối điện mặt trời được không?,"Không nên tự đấu nối nếu không có chuyên môn điện. Hệ điện mặt trời có cả điện DC và AC, có rủi ro giật điện, phát nhiệt, chập cháy nếu đấu sai. Cần kỹ thuật viên có chuyên môn thực hiện.",safety,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Nếu inverter báo lỗi thì làm gì?,"Không tự tháo inverter hoặc đấu nối lại dây. Hãy ghi nhận mã lỗi nếu có, ngắt nguồn theo hướng dẫn an toàn nếu có thể và liên hệ đơn vị lắp đặt hoặc kỹ thuật viên.",troubleshooting,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Nếu có mùi khét hoặc tia lửa ở hệ điện mặt trời thì làm gì?,"Ngừng sử dụng và không chạm vào thiết bị. Nếu có thể thực hiện an toàn, ngắt nguồn theo hướng dẫn; sau đó liên hệ kỹ thuật viên hoặc đơn vị lắp đặt để kiểm tra ngay.",safety_warning,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Có được rửa tấm pin khi đang nắng gắt không?,"Không nên vệ sinh khi tấm pin đang quá nóng hoặc điều kiện không an toàn. Nên vệ sinh vào thời điểm mát, tránh trơn trượt và không tự thao tác trên mái nếu không có thiết bị an toàn.",maintenance,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Điện mặt trời có rủi ro cháy nổ không?,"Rủi ro có thể xảy ra nếu thiết kế, vật tư, đầu nối, bảo vệ điện hoặc thi công không đúng kỹ thuật. Vì vậy cần lựa chọn thiết bị phù hợp, thi công đúng chuẩn và kiểm tra định kỳ.",safety,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Trời mưa có dùng điện mặt trời được không?,"Hệ thống vẫn có thể vận hành khi có ánh sáng, nhưng sản lượng giảm khi mưa hoặc mây dày. Không tự thao tác trên mái, dây dẫn hoặc tủ điện khi trời mưa hoặc khu vực điện bị ẩm ướt.",operation,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Hệ điện mặt trời cần bảo trì không?,"Có. Cần kiểm tra định kỳ tình trạng tấm pin, khung đỡ, dây dẫn, đầu nối, inverter, tủ điện và sản lượng vận hành. Một số gói MKSolar công bố bảo trì miễn phí 2 năm đầu tiên.",maintenance,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Bao lâu nên vệ sinh tấm pin?,"Tần suất vệ sinh tùy môi trường bụi, lá cây, phân chim và độ dốc mái. Chatbot chỉ nên khuyến nghị kiểm tra định kỳ và vệ sinh khi bề mặt bám bẩn rõ rệt; không nên tự vệ sinh nếu không đảm bảo an toàn trên cao.",maintenance,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Sản lượng giảm thì kiểm tra gì?,"Cần kiểm tra thời tiết, bóng che mới phát sinh, bụi bẩn trên tấm pin, cảnh báo inverter, dây dẫn, thiết bị bảo vệ và lịch sử sản lượng. Nếu giảm bất thường kéo dài, nên gọi kỹ thuật viên.",troubleshooting,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
Sau khi lắp có được theo dõi sản lượng không?,"Nhiều inverter có phần mềm hoặc màn hình theo dõi sản lượng. Khả năng theo dõi phụ thuộc hãng inverter và cấu hình hệ thống, cần xác nhận theo thiết bị được chọn.",operation,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Lắp điện mặt trời mái nhà tự dùng có cần đăng ký không?,"EVN có hướng dẫn đăng ký phát triển nguồn điện mặt trời mái nhà tự sản xuất, tự tiêu thụ. Người dùng nên kiểm tra hướng dẫn hiện hành của điện lực địa phương trước khi lắp đặt.",registration,evn_registration,https://www.evn.com.vn/d/vi-VN/news/Huong-dan-dang-ky-phat-trien-nguon-dien-mat-troi-mai-nha-tu-san-xuat-tu-tieu-thu-60-134-503159,
Hệ không đấu nối lưới có cần giấy phép điện lực không?,"Theo thông tin tóm tắt chính sách Nghị định 135/2024/NĐ-CP trên Cổng thông tin Chính phủ, tổ chức/cá nhân lắp điện mặt trời mái nhà tự sản xuất, tự tiêu thụ được miễn trừ giấy phép hoạt động điện lực trong một số trường hợp, gồm không đấu nối với hệ thống điện quốc gia. Cần kiểm tra đầy đủ văn bản và trường hợp cụ thể.",regulation,gov_policy_summary,https://xaydungchinhsach.chinhphu.vn/chinh-sach-moi-ve-phat-trien-dien-mat-troi-mai-nha-tu-san-xuat-tu-tieu-thu-119241023084553098.htm,
Hộ gia đình dưới 100kW có phải xin giấy phép hoạt động điện lực không?,"Theo thông tin tóm tắt chính sách Nghị định 135/2024/NĐ-CP trên Cổng thông tin Chính phủ, hộ gia đình, nhà ở riêng lẻ phát triển điện mặt trời mái nhà tự sản xuất, tự tiêu thụ có công suất dưới 100 kW thuộc trường hợp được miễn trừ giấy phép hoạt động điện lực. Cần kiểm tra điều kiện cụ thể khi triển khai.",regulation,gov_policy_summary,https://xaydungchinhsach.chinhphu.vn/chinh-sach-moi-ve-phat-trien-dien-mat-troi-mai-nha-tu-san-xuat-tu-tieu-thu-119241023084553098.htm,
Nếu lắp thiết bị chống phát ngược thì có được miễn giấy phép điện lực không?,"Theo tóm tắt chính sách Nghị định 135/2024/NĐ-CP, trường hợp lắp thiết bị chống phát ngược điện vào hệ thống điện quốc gia là một trong các trường hợp được miễn trừ giấy phép hoạt động điện lực. Cần kiểm tra đầy đủ quy định và yêu cầu kỹ thuật thực tế.",regulation,gov_policy_summary,https://xaydungchinhsach.chinhphu.vn/chinh-sach-moi-ve-phat-trien-dien-mat-troi-mai-nha-tu-san-xuat-tu-tieu-thu-119241023084553098.htm,
Hệ từ 1.000 kW trở lên và bán điện dư cần lưu ý gì?,"Theo Bộ Công Thương, tổ chức/cá nhân lắp điện mặt trời mái nhà tự sản xuất, tự tiêu thụ có công suất từ 1.000 kW trở lên và bán điện dư vào hệ thống điện quốc gia cần thực hiện thủ tục về quy hoạch điện lực và đề nghị cấp giấy phép hoạt động điện lực theo quy định.",regulation,moit_conference_135,https://moit.gov.vn/tin-tuc/phat-trien-nang-luong/hoi-nghi-truc-tuyen-ve-nghi-dinh-135-2024-nd-cp-quy-dinh-co-che-chinh-sach-khuyen-khich-phat-trien-dien-mat-troi-mai-nha.html,
Điện mặt trời mái nhà có được khuyến khích phát triển không?,"Có. Nghị định 135/2024/NĐ-CP quy định cơ chế, chính sách khuyến khích phát triển điện mặt trời mái nhà tự sản xuất, tự tiêu thụ. Chỉ thị 10 cũng nêu việc đẩy mạnh phát triển điện mặt trời mái nhà kết hợp lưu trữ phù hợp.",regulation,gov_decree_135,https://chinhphu.vn/?classid=1&docid=211466&pageid=27160&typegroupid=4,
Có nên bán điện dư lên lưới không?,"Việc bán điện dư phụ thuộc quy định hiện hành, điều kiện đấu nối, công suất và thủ tục liên quan. Chatbot chỉ nên tư vấn rằng khách hàng cần kiểm tra chính sách hiện tại và làm việc với điện lực/đơn vị tư vấn kỹ thuật.",regulation,moit_conference_135,https://moit.gov.vn/tin-tuc/phat-trien-nang-luong/hoi-nghi-truc-tuyen-ve-nghi-dinh-135-2024-nd-cp-quy-dinh-co-che-chinh-sach-khuyen-khich-phat-trien-dien-mat-troi-mai-nha.html,
Tự sản xuất tự tiêu thụ có lợi ích gì?,"EVN nêu điện mặt trời mái nhà tự sản xuất, tự tiêu thụ giúp tiết kiệm chi phí điện và góp phần bảo vệ môi trường. Bộ Công Thương cũng nêu điện mặt trời mái nhà kết hợp lưu trữ phù hợp giúp bổ sung nguồn điện tại chỗ và tăng tính linh hoạt hệ thống điện.",regulation,evn_registration,https://www.evn.com.vn/d/vi-VN/news/Huong-dan-dang-ky-phat-trien-nguon-dien-mat-troi-mai-nha-tu-san-xuat-tu-tieu-thu-60-134-503159,
Hệ 3kW bám tải MKSolar gồm gì?,"Theo trang vật tư 3kW bám tải MKSolar, cấu hình gồm tấm pin Canadian/JA Solar tổng công suất 3000W, inverter ThinkPower 3kW hòa lưới bám tải, tủ điện AC/DC 3kW, dây DC/AC, pat Z, jack MC4, kẹp biên và kẹp giữa.",product_reference,mksolar_3kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai-2/,
Hệ 3kW lưu trữ MKSolar có thông số gì?,"Theo trang hệ thống 3kW lưu trữ MKSolar, công suất 3kWp, loại hybrid có lưu trữ, inverter LuxPower SNA 5000 Hybrid, pin lưu trữ khuyến nghị khoảng 5kWh, sản lượng trung bình 10–14 kWh/ngày và diện tích mái khoảng 15–20m².",product_reference,mksolar_3kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-3kw-luu-tru/,
Hệ 5kW bám tải MKSolar có thông số gì?,"Theo trang vật tư 5kW bám tải MKSolar, công suất 5kWp, inverter Deye SUN 5K hòa lưới bám tải, tổng công suất tấm pin 5000W, hệ on-grid không lưu trữ, sản lượng trung bình 18–25 kWh/ngày và diện tích mái khoảng 25–35m².",product_reference,mksolar_5kw_on_grid_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-3kw-bam-tai/,
Hệ 5kW lưu trữ cao cấp MKSolar có thông số gì?,"Theo trang hệ thống 5kW lưu trữ cao cấp MKSolar, công suất 5kWp, loại hybrid lưu trữ, inverter Hybrid Deye 5kW, pin lưu trữ khuyến nghị khoảng 10kWh, sản lượng trung bình 18–25 kWh/ngày và diện tích mái khoảng 25–35m².",product_reference,mksolar_5kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-5kw-luu-tru-cao-cap/,
Hệ 10kW bám tải MKSolar có thông số gì?,"Theo trang hệ thống 10kW bám tải MKSolar, công suất 10kWp, hệ hòa lưới bám tải không lưu trữ, inverter Deye SUN 8K, sản lượng trung bình 35–45 kWh/ngày và diện tích mái khoảng 50–70m².",product_reference,mksolar_10kw_on_grid,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-bam-tai/,
Hệ 10kW lưu trữ MKSolar có thông số gì?,"Theo trang hệ thống 10kW lưu trữ 1 pha MKSolar, công suất 10kWp, loại hybrid lưu trữ 1 pha, inverter Hybrid Deye SUN 8K, pin lưu trữ khuyến nghị 15–20kWh, sản lượng trung bình 35–45 kWh/ngày và diện tích mái khoảng 50–70m².",product_reference,mksolar_10kw_storage,https://mksolar.vn/product/he-thong-nang-luong-mat-troi-10kw-luu-tru-1-pha/,
MKSolar có gói vật tư riêng không?,"Có. Website MKSolar có danh mục combo vật tư năng lượng mặt trời và nêu hỗ trợ khảo sát, tư vấn giải pháp và báo giá hệ thống phù hợp cho hộ gia đình, cửa hàng và doanh nghiệp.",product_reference,mksolar_materials,https://mksolar.vn/product-category/combo-vat-tu-nang-luong-mat-troi/,
Gói vật tư khác gì gói trọn gói lắp đặt?,"Gói vật tư thường tập trung vào thiết bị và phụ kiện. Một số trang vật tư MKSolar ghi rõ không bao gồm khảo sát, thiết kế, nhân công lắp đặt và bảo trì định kỳ; gói trọn gói thường có thêm dịch vụ lắp đặt và bàn giao.",product_reference,mksolar_5kw_storage_material,https://mksolar.vn/product/vat-tu-nang-luong-mat-troi-5kw-luu-tru/,
Nếu người dùng hỏi ngoài phạm vi điện mặt trời thì trả lời sao?,"Hãy nói rằng hệ thống chỉ hỗ trợ tư vấn điện năng lượng mặt trời và gợi ý người dùng hỏi về hệ áp mái, hòa lưới, hybrid, pin lưu trữ, quy trình lắp đặt hoặc bảo trì.",chatbot_policy,mksolar_home,https://mksolar.vn/,
Nếu người dùng hỏi giá chính xác thì trả lời sao?,"Hãy giải thích rằng giá chính xác cần khảo sát thực tế và không nên chốt qua chatbot. Có thể hỏi thêm tiền điện, loại công trình, diện tích mái, nhu cầu lưu trữ và khu vực lắp đặt để tư vấn sơ bộ.",chatbot_policy,mksolar_contact,https://mksolar.vn/elements/,
Nếu người dùng nói hệ thống có dấu hiệu chập cháy thì trả lời sao?,"Ưu tiên an toàn: yêu cầu người dùng ngừng tự thao tác, không chạm vào thiết bị, ngắt nguồn nếu có thể thực hiện an toàn và liên hệ kỹ thuật viên hoặc đơn vị lắp đặt để kiểm tra trực tiếp.",chatbot_policy,giz_cirts,https://www.giz.de/en/projects/commercial-industrial-rooftop-solar-cirts,
